날짜,측정소명,미세먼지 PM10 (㎍/m3),초미세먼지 PM2.5 (㎍/m3),오존 O3 (ppm),이산화질소 NO2 (ppm),일산화탄소 CO (ppm),아황산가스 SO2 (ppm)
2023-01-01 00:00:00,강남구,52.0,36.0,0.024,0.024,0.6,0.004
2023-01-01 00:00:00,강동구,56.0,43.0,0.017,0.027,0.7,0.003
2023-01-01 00:00:00,강북구,51.0,34.0,0.026,0.024,0.7,0.004
2023-01-01 00:00:00,강서구,62.0,38.0,0.025,0.021,0.6,0.004
2023-01-01 00:00:00,관악구,54.0,35.0,0.02,0.025,0.6,0.003
2023-01-01 00:00:00,광진구,48.0,36.0,0.0176,0.0175,0.79,0.0026
2023-01-01 00:00:00,구로구,53.0,35.0,0.021,0.019,0.4,0.003
2023-01-01 00:00:00,노원구,51.0,39.0,0.022,0.031,0.7,0.004
2023-01-01 00:00:00,도봉구,43.0,32.0,0.029,0.02,0.7,0.003
2023-01-01 00:00:00,동대문구,52.0,37.0,0.024,0.023,0.7,0.004
2023-01-01 00:00:00,동작구,56.0,41.0,0.025,0.022,0.6,0.004
2023-01-01 00:00:00,마포구,49.0,40.0,0.02,0.023,0.6,0.003
2023-01-01 00:00:00,금천구,47.0,38.0,0.024,0.023,0.6,0.004
2023-01-01 00:00:00,서초구,52.0,37.0,0.024,0.018,0.5,0.003
2023-01-01 00:00:00,서대문구,53.0,37.0,0.022,0.024,0.7,0.005
2023-01-01 00:00:00,중구,54.0,46.0,0.026,0.023,0.6,0.004
2023-01-01 00:00:00,종로구,53.0,42.0,0.0251,0.0215,0.67,0.0038
2023-01-01 00:00:00,은평구,55.0,37.0,0.023,0.021,0.8,0.004
2023-01-01 00:00:00,용산구,50.0,37.0,0.024,0.019,0.6,0.004
2023-01-01 00:00:00,중랑구,52.0,39.0,0.021,0.03,0.7,0.003
2023-01-01 00:00:00,평균,52.0,37.0,0.0225,0.0235,0.65,0.0036
2023-01-01 00:00:00,양천구,53.0,39.0,0.02,0.023,0.6,0.003
2023-01-01 00:00:00,송파구,51.0,35.0,0.018,0.03,0.7,0.003
2023-01-01 00:00:00,성북구,45.0,34.0,0.021,0.03,0.8,0.004
2023-01-01 00:00:00,성동구,53.0,33.0,0.022,0.027,0.6,0.003
2023-01-01 00:00:00,영등포구,51.0,34.0,0.023,0.023,0.6,0.004
2023-01-02 00:00:00,도봉구,21.0,10.0,0.0287,0.013,0.38,0.0028
2023-01-02 00:00:00,노원구,25.0,14.0,0.0223,0.0212,0.45,0.0033
2023-01-02 00:00:00,금천구,23.0,14.0,0.0188,0.0243,0.49,0.0035
2023-01-02 00:00:00,구로구,25.0,8.0,0.0186,0.0163,0.28,0.0032
2023-01-02 00:00:00,동대문구,24.0,12.0,0.0235,0.0169,0.45,0.0035
2023-01-02 00:00:00,관악구,26.0,11.0,0.0183,0.0209,0.45,0.0031
2023-01-02 00:00:00,강북구,22.0,11.0,0.0207,0.008,0.49,0.0022
2023-01-02 00:00:00,강동구,26.0,13.0,0.0173,0.0194,0.38,0.0028
2023-01-02 00:00:00,강남구,24.0,11.0,0.0212,0.0206,0.43,0.0034
2023-01-02 00:00:00,광진구,21.0,11.0,0.0182,0.0108,0.51,0.002
2023-01-02 00:00:00,강서구,32.0,11.0,0.022,0.0176,0.44,0.0034
2023-01-02 00:00:00,동작구,27.0,14.0,0.0187,0.0214,0.41,0.003
2023-01-02 00:00:00,서대문구,23.0,9.0,0.0205,0.0178,0.35,0.0038
2023-01-02 00:00:00,서초구,23.0,8.0,0.0199,0.0186,0.29,0.0032
2023-01-02 00:00:00,성동구,25.0,11.0,0.0186,0.0239,0.42,0.0032
2023-01-02 00:00:00,성북구,20.0,10.0,0.02,0.0223,0.51,0.0036
2023-01-02 00:00:00,송파구,27.0,13.0,0.0169,0.0256,0.51,0.003
2023-01-02 00:00:00,양천구,26.0,12.0,0.0177,0.0188,0.44,0.0027
2023-01-02 00:00:00,영등포구,22.0,9.0,0.0188,0.0188,0.43,0.0031
2023-01-02 00:00:00,용산구,25.0,14.0,0.021,0.0166,0.49,0.0033
2023-01-02 00:00:00,은평구,23.0,7.0,0.0216,0.016,0.62,0.0038
2023-01-02 00:00:00,종로구,25.0,14.0,0.0224,0.0179,0.44,0.0033
2023-01-02 00:00:00,평균,24.0,11.0,0.0204,0.0187,0.44,0.0031
2023-01-02 00:00:00,마포구,21.0,10.0,0.0193,0.0175,0.47,0.0026
2023-01-02 00:00:00,중구,23.0,14.0,0.0265,0.019,0.43,0.0031
2023-01-02 00:00:00,중랑구,23.0,13.0,0.0195,0.0232,0.42,0.0029
2023-01-03 00:00:00,구로구,30.0,13.0,0.0113,0.0283,0.39,0.0033
2023-01-03 00:00:00,평균,30.0,17.0,0.0142,0.0296,0.56,0.0033
2023-01-03 00:00:00,강남구,29.0,15.0,0.0162,0.0303,0.51,0.0034
2023-01-03 00:00:00,강동구,34.0,21.0,0.0117,0.028,0.49,0.0028
2023-01-03 00:00:00,강북구,32.0,17.0,0.0184,0.0228,0.61,0.0026
2023-01-03 00:00:00,강서구,37.0,16.0,0.0149,0.0302,0.55,0.0038
2023-01-03 00:00:00,관악구,30.0,15.0,0.0133,0.0339,0.6,0.0032
2023-01-03 00:00:00,광진구,32.0,19.0,0.0116,0.0203,0.69,0.0022
2023-01-03 00:00:00,금천구,25.0,17.0,0.0146,0.0292,0.51,0.0034
2023-01-03 00:00:00,노원구,35.0,22.0,0.0156,0.0349,0.62,0.0037
2023-01-03 00:00:00,도봉구,26.0,15.0,0.0194,0.0259,0.54,0.0025
2023-01-03 00:00:00,동작구,28.0,17.0,0.0109,0.0332,0.51,0.0027
2023-01-03 00:00:00,마포구,28.0,19.0,0.011,0.0297,0.55,0.003
2023-01-03 00:00:00,동대문구,30.0,17.0,0.0164,0.0296,0.59,0.0038
2023-01-03 00:00:00,서초구,27.0,12.0,0.0114,0.0329,0.38,0.0032
2023-01-03 00:00:00,중랑구,32.0,20.0,0.0157,0.0295,0.52,0.0027
